SrNo,Region,PostCode,PostName,Department,AgeLimit,PayLevel,ExamLevel,SC,ST,OBC,UR,EWS,Total,ESM,OH,HH,VH,Others
359,WR,WR12226,Senior Technical Assistant,"Directorate of Cotton Development, Department of Agriculture & Farmers Welfare, Ministry of",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
360,WR,WR12326,Multi-Tasking Staff (NonTechnical),"Geological Survey of India, Central Region, Geological",18-25,Level 1,Matriculation (10th),0,0,10,12,3,25,2,1,1,1,1
361,WR,WR12426,Instructor (Vocational,"Training Workshop) -in Carpenter trade. All India Institute of Physical Medicine and Rehabilitation, Directorate General of Health Services, Ministry of Health & Family Welfare",18-27,Level 2,Matriculation (10th),1,0,0,0,0,1,0,0,0,0,0
362,WR,WR12526,Deputy Ranger,"Forest survey of India, RO (Central), Ministry of",18-27,Level 4,Higher Secondary (10+2),0,0,0,0,1,1,0,0,0,0,0
363,WR,WR12726,Junior Technician (Electroplating),"All India Institute of Physical Medicine and Rehabilitation, Directorate General of Health Services, Ministry of Health & Family Welfare",18-27,Level 2,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
364,WR,WR12826,Mechanic,National Fire Service,18-27,Level 2,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
365,WR,WR12926,Fire and Rescue Operator,"National Fire Service College , Ministry of Home Affairs",18-27,Level 2,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
366,WR,WR13026,Laboratory Assistant,National Fire Service,18-27,Level 5,Graduation & Above,0,0,1,2,1,4,0,0,0,0,0
367,WR,WR13126,Store Keeper,National Fire Service,18-27,Level 4,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
368,WR,WR13226,Fieldman,"Forest Survey of India, Regional Office (Central), Ministry of Environment &",18-27,Level 2,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
369,WR,WR13326,Speech Therapist,Directorate General Armed Force Medical Service,18-30,Level 6,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
370,WR,WR13426,Driver,"Government Medical Store Depot, Directorate General of Health Services, Ministry of Health & Family Welfare",18-25,Level 2,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
371,WR,WR13526,Pharmacist-Cum-Clerk,"Government Medical Store Depot, Directorate General of Health Services, Ministry of Health & Family Welfare",21-28,Level 5,Higher Secondary (10+2),1,0,1,4,1,7,0,0,0,0,0
372,WR,WR13626,Assistant Chemist,"Government Medical Store Depot, Directorate General of Health Services, Ministry of Health & Family Welfare",23-28,Level 6,Graduation & Above,1,0,0,1,0,2,0,0,0,0,0
373,WR,WR13726,Staff Car Driver (Ordinary Grade),"India Tourism Office, Ministry of Tourism",,,,0,0,0,1,0,1,0,0,0,0,0
374,WR,WR13826,Laboratory Attendant,"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-27,Level 1,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
375,WR,WR13926,Junior Technical Assistant (Ore Dressing),"Indian Bureau of Mines, Ministry of Mines,",,,,1,0,1,2,1,5,0,0,0,0,0
376,WR,WR14026,Laboratory Attendant,"Indian Bureau of Mines, Ministry of Mines,",,,Higher Secondary (10+2),3,0,6,7,3,19,3,0,0,0,0
377,WR,WR14126,Technical Assistant (Publication),"Indian Bureau of Mines, Ministry of Mines,",,,,0,0,0,1,0,1,0,0,0,1,0
378,WR,WR14226,Junior Chemist,Directorate Marketing &,18-30,Level 5,Graduation & Above,1,2,0,12,1,16,2,0,0,0,0
379,WR,WR14326,Accountant,"National Centre for Organic and Natural Farming, Dept. of Agriculture & Farmers",18-27,Level 5,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
380,WR,WR14426,Laboratory Assistant,"National Centre for Organic & Natural Farming, Dept. of Agriculture & Farmers",18-25,Level 2,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
381,WR,WR14526,Senior Technical Assistant (Drawing),"Indian Bureau of Mines, Ministry of Mines",,,,1,0,3,4,0,8,0,0,0,1,0
382,WR,WR14626,Navigational Assistant Grade-II,"Directorate of Lighthouses & Lightships VTS, Ministry of Ports, Shipping and Waterways",18-27,Level 6,Higher Secondary (10+2),1,0,0,0,0,1,0,0,0,0,0
